candidate,office,district,party,county,precinct,votes,,
,Ballots Cast,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 1,15,,
,Ballots Cast,,CONSERVATIVE,Albany,ALBANY WARD 1 ED 1,0,,
,Ballots Cast,,GREEN,Albany,ALBANY WARD 1 ED 1,0,,
,Ballots Cast,,INDEPENDENCE,Albany,ALBANY WARD 1 ED 1,0,,
,Ballots Cast,,WOMEN'S EQUALITY,Albany,ALBANY WARD 1 ED 1,0,,
,Ballots Cast,,REFORM,Albany,ALBANY WARD 1 ED 1,1,,
Cynthia E. Nixon,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 1,7,,
Andrew M. Cuomo,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 1,6,,
WRITE-IN,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 1,2,,
OVER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 1,0,,
UNDER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 1,0,,
Kathy C. Hochul,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 1,4,,
Jumaane Williams,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 1,7,,
WRITE-IN,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 1,2,,
OVER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 1,0,,
UNDER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 1,2,,
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 1,3,,
Letitia A. James,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 1,2,,
Leecia R. Eve,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 1,0,,
Zephyr Teachout,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 1,7,,
WRITE-IN,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 1,2,,
OVER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 1,0,,
UNDER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 1,1,,
Nancy B Sliwa,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 1,0,,
Mike Diederich,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 1,0,,
Christopher B Garvey,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 1,0,,
WRITE-IN,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 1,1,,
OVER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 1,0,,
UNDER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 1,0,,
,Ballots Cast,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 2,115,,
,Ballots Cast,,CONSERVATIVE,Albany,ALBANY WARD 1 ED 2,0,,
,Ballots Cast,,GREEN,Albany,ALBANY WARD 1 ED 2,0,,
,Ballots Cast,,INDEPENDENCE,Albany,ALBANY WARD 1 ED 2,0,,
,Ballots Cast,,WOMEN'S EQUALITY,Albany,ALBANY WARD 1 ED 2,0,,
,Ballots Cast,,REFORM,Albany,ALBANY WARD 1 ED 2,0,,
Cynthia E. Nixon,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 2,46,,
Andrew M. Cuomo,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 2,65,,
WRITE-IN,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 2,4,,
OVER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 2,0,,
UNDER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 2,0,,
Kathy C. Hochul,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 2,60,,
Jumaane Williams,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 2,47,,
WRITE-IN,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 2,4,,
OVER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 2,0,,
UNDER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 2,4,,
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 2,33,,
Letitia A. James,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 2,24,,
Leecia R. Eve,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 2,11,,
Zephyr Teachout,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 2,42,,
WRITE-IN,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 2,3,,
OVER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 2,0,,
UNDER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 2,2,,
Nancy B Sliwa,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 2,0,,
Mike Diederich,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 2,0,,
Christopher B Garvey,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 2,0,,
WRITE-IN,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 2,0,,
OVER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 2,0,,
UNDER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 2,0,,
,Ballots Cast,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 3,123,,
,Ballots Cast,,CONSERVATIVE,Albany,ALBANY WARD 1 ED 3,0,,
,Ballots Cast,,GREEN,Albany,ALBANY WARD 1 ED 3,0,,
,Ballots Cast,,INDEPENDENCE,Albany,ALBANY WARD 1 ED 3,0,,
,Ballots Cast,,WOMEN'S EQUALITY,Albany,ALBANY WARD 1 ED 3,0,,
,Ballots Cast,,REFORM,Albany,ALBANY WARD 1 ED 3,1,,
Cynthia E. Nixon,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 3,40,,
Andrew M. Cuomo,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 3,74,,
WRITE-IN,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 3,6,,
OVER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 3,2,,
UNDER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 3,1,,
Kathy C. Hochul,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 3,71,,
Jumaane Williams,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 3,40,,
WRITE-IN,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 3,6,,
OVER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 3,1,,
UNDER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 3,5,,
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 3,42,,
Letitia A. James,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 3,25,,
Leecia R. Eve,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 3,10,,
Zephyr Teachout,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 3,36,,
WRITE-IN,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 3,6,,
OVER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 3,4,,
UNDER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 3,0,,
Nancy B Sliwa,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 3,0,,
Mike Diederich,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 3,0,,
Christopher B Garvey,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 3,1,,
WRITE-IN,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 3,0,,
OVER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 3,0,,
UNDER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 3,0,,
,Ballots Cast,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 4,118,,
,Ballots Cast,,CONSERVATIVE,Albany,ALBANY WARD 1 ED 4,0,,
,Ballots Cast,,GREEN,Albany,ALBANY WARD 1 ED 4,0,,
,Ballots Cast,,INDEPENDENCE,Albany,ALBANY WARD 1 ED 4,0,,
,Ballots Cast,,WOMEN'S EQUALITY,Albany,ALBANY WARD 1 ED 4,0,,
,Ballots Cast,,REFORM,Albany,ALBANY WARD 1 ED 4,0,,
Cynthia E. Nixon,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 4,37,,
Andrew M. Cuomo,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 4,75,,
WRITE-IN,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 4,2,,
OVER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 4,0,,
UNDER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 4,4,,
Kathy C. Hochul,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 4,70,,
Jumaane Williams,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 4,42,,
WRITE-IN,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 4,3,,
OVER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 4,1,,
UNDER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 4,2,,
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 4,39,,
Letitia A. James,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 4,30,,
Leecia R. Eve,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 4,7,,
Zephyr Teachout,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 4,32,,
WRITE-IN,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 4,2,,
OVER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 4,5,,
UNDER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 4,3,,
Nancy B Sliwa,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 4,0,,
Mike Diederich,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 4,0,,
Christopher B Garvey,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 4,0,,
WRITE-IN,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 4,0,,
OVER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 4,0,,
UNDER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 4,0,,
,Ballots Cast,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 5,1,,
,Ballots Cast,,CONSERVATIVE,Albany,ALBANY WARD 1 ED 5,0,,
,Ballots Cast,,GREEN,Albany,ALBANY WARD 1 ED 5,0,,
,Ballots Cast,,INDEPENDENCE,Albany,ALBANY WARD 1 ED 5,0,,
,Ballots Cast,,WOMEN'S EQUALITY,Albany,ALBANY WARD 1 ED 5,0,,
,Ballots Cast,,REFORM,Albany,ALBANY WARD 1 ED 5,0,,
Cynthia E. Nixon,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 5,0,,
Andrew M. Cuomo,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 5,1,,
WRITE-IN,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 5,0,,
OVER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 5,0,,
UNDER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 5,0,,
Kathy C. Hochul,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 5,1,,
Jumaane Williams,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 5,0,,
WRITE-IN,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 5,0,,
OVER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 5,0,,
UNDER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 5,0,,
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 5,0,,
Letitia A. James,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 5,0,,
Leecia R. Eve,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 5,0,,
Zephyr Teachout,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 5,1,,
WRITE-IN,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 5,0,,
OVER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 5,0,,
UNDER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 5,0,,
Nancy B Sliwa,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 5,0,,
Mike Diederich,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 5,0,,
Christopher B Garvey,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 5,0,,
WRITE-IN,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 5,0,,
OVER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 5,0,,
UNDER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 5,0,,
,Ballots Cast,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 6,96,,
,Ballots Cast,,CONSERVATIVE,Albany,ALBANY WARD 1 ED 6,0,,
,Ballots Cast,,GREEN,Albany,ALBANY WARD 1 ED 6,0,,
,Ballots Cast,,INDEPENDENCE,Albany,ALBANY WARD 1 ED 6,0,,
,Ballots Cast,,WOMEN'S EQUALITY,Albany,ALBANY WARD 1 ED 6,0,,
,Ballots Cast,,REFORM,Albany,ALBANY WARD 1 ED 6,0,,
Cynthia E. Nixon,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 6,28,,
Andrew M. Cuomo,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 6,63,,
WRITE-IN,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 6,3,,
OVER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 6,0,,
UNDER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 6,2,,
Kathy C. Hochul,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 6,43,,
Jumaane Williams,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 6,42,,
WRITE-IN,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 6,3,,
OVER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 6,1,,
UNDER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 6,7,,
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 6,30,,
Letitia A. James,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 6,25,,
Leecia R. Eve,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 6,10,,
Zephyr Teachout,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 6,20,,
WRITE-IN,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 6,3,,
OVER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 6,4,,
UNDER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 6,4,,
Nancy B Sliwa,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 6,0,,
Mike Diederich,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 6,0,,
Christopher B Garvey,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 6,0,,
WRITE-IN,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 6,0,,
OVER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 6,0,,
UNDER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 6,0,,
,Ballots Cast,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 7,115,,
,Ballots Cast,,CONSERVATIVE,Albany,ALBANY WARD 1 ED 7,0,,
,Ballots Cast,,GREEN,Albany,ALBANY WARD 1 ED 7,0,,
,Ballots Cast,,INDEPENDENCE,Albany,ALBANY WARD 1 ED 7,0,,
,Ballots Cast,,WOMEN'S EQUALITY,Albany,ALBANY WARD 1 ED 7,0,,
,Ballots Cast,,REFORM,Albany,ALBANY WARD 1 ED 7,0,,
Cynthia E. Nixon,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 7,41,,
Andrew M. Cuomo,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 7,69,,
WRITE-IN,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 7,4,,
OVER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 7,1,,
UNDER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 7,0,,
Kathy C. Hochul,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 7,52,,
Jumaane Williams,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 7,55,,
WRITE-IN,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 7,3,,
OVER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 7,1,,
UNDER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 7,4,,
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 7,28,,
Letitia A. James,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 7,38,,
Leecia R. Eve,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 7,19,,
Zephyr Teachout,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 7,20,,
WRITE-IN,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 7,3,,
OVER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 7,5,,
UNDER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 7,2,,
Nancy B Sliwa,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 7,0,,
Mike Diederich,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 7,0,,
Christopher B Garvey,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 7,0,,
WRITE-IN,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 7,0,,
OVER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 7,0,,
UNDER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 7,0,,
,Ballots Cast,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 8,19,,
,Ballots Cast,,CONSERVATIVE,Albany,ALBANY WARD 1 ED 8,0,,
,Ballots Cast,,GREEN,Albany,ALBANY WARD 1 ED 8,0,,
,Ballots Cast,,INDEPENDENCE,Albany,ALBANY WARD 1 ED 8,0,,
,Ballots Cast,,WOMEN'S EQUALITY,Albany,ALBANY WARD 1 ED 8,0,,
,Ballots Cast,,REFORM,Albany,ALBANY WARD 1 ED 8,0,,
Cynthia E. Nixon,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 8,6,,
Andrew M. Cuomo,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 8,12,,
WRITE-IN,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 8,1,,
OVER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 8,0,,
UNDER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 8,0,,
Kathy C. Hochul,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 8,8,,
Jumaane Williams,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 8,7,,
WRITE-IN,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 8,1,,
OVER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 8,1,,
UNDER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 8,2,,
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 8,5,,
Letitia A. James,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 8,5,,
Leecia R. Eve,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 8,2,,
Zephyr Teachout,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 8,4,,
WRITE-IN,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 8,2,,
OVER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 8,0,,
UNDER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 8,1,,
Nancy B Sliwa,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 8,0,,
Mike Diederich,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 8,0,,
Christopher B Garvey,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 8,0,,
WRITE-IN,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 8,0,,
OVER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 8,0,,
UNDER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 8,0,,
,Ballots Cast,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 9,74,,
,Ballots Cast,,CONSERVATIVE,Albany,ALBANY WARD 1 ED 9,0,,
,Ballots Cast,,GREEN,Albany,ALBANY WARD 1 ED 9,0,,
,Ballots Cast,,INDEPENDENCE,Albany,ALBANY WARD 1 ED 9,0,,
,Ballots Cast,,WOMEN'S EQUALITY,Albany,ALBANY WARD 1 ED 9,0,,
,Ballots Cast,,REFORM,Albany,ALBANY WARD 1 ED 9,1,,
Cynthia E. Nixon,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 9,31,,
Andrew M. Cuomo,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 9,41,,
WRITE-IN,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 9,1,,
OVER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 9,1,,
UNDER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 9,0,,
Kathy C. Hochul,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 9,44,,
Jumaane Williams,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 9,26,,
WRITE-IN,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 9,2,,
OVER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 9,0,,
UNDER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 9,2,,
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 9,22,,
Letitia A. James,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 9,20,,
Leecia R. Eve,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 9,4,,
Zephyr Teachout,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 9,23,,
WRITE-IN,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 9,1,,
OVER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 9,3,,
UNDER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 9,1,,
Nancy B Sliwa,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 9,0,,
Mike Diederich,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 9,0,,
