candidate,office,district,party,county,precinct,election_day,absentee,votes
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 1 _1,2,3 (Edson School)",141,6,147
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 1 _1,2,3 (Edson School)",138,13,151
Blanks,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 1 _1,2,3 (Edson School)",3,1,4
Voids,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 1 _1,2,3 (Edson School)",0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 1 _1,2,3 (Edson School)",0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 1 _1,2,3 (Edson School)",82,4,86
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 1 _1,2,3 (Edson School)",48,1,49
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 1 _1,2,3 (Edson School)",9,1,10
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 1 _1,2,3 (Edson School)",134,11,145
Blanks,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 1 _1,2,3 (Edson School)",5,2,7
Voids,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 1 _1,2,3 (Edson School)",4,1,5
Write-ins,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 1 _1,2,3 (Edson School)",0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,"Kingston Ward 1 _1,2,3 (Edson School)",4,2,6
Mike Diederich,Attorney General,,REFORM,Ulster,"Kingston Ward 1 _1,2,3 (Edson School)",1,0,1
Christopher B Garvey,Attorney General,,REFORM,Ulster,"Kingston Ward 1 _1,2,3 (Edson School)",1,0,1
Blanks,Attorney General,,REFORM,Ulster,"Kingston Ward 1 _1,2,3 (Edson School)",0,0,0
Voids,Attorney General,,REFORM,Ulster,"Kingston Ward 1 _1,2,3 (Edson School)",0,0,0
Write-ins,Attorney General,,REFORM,Ulster,"Kingston Ward 1 _1,2,3 (Edson School)",1,0,1
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 2 _1,2 (Frog Alley)",83,8,91
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 2 _1,2 (Frog Alley)",60,13,73
Blanks,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 2 _1,2 (Frog Alley)",1,1,2
Voids,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 2 _1,2 (Frog Alley)",0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 2 _1,2 (Frog Alley)",0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 2 _1,2 (Frog Alley)",25,6,31
