county,assembly_district,precinct,party,office,district,candidate,votes
Bronx,77,1,Democratic,President,,Public Counter,37
Bronx,77,1,Democratic,President,,Manually Counted Emergency,0
Bronx,77,1,Democratic,President,,Absentee / Military,19
Bronx,77,1,Democratic,President,,Federal,0
Bronx,77,1,Democratic,President,,Affidavit,1
Bronx,77,1,Democratic,President,,Pete Buttigieg,1
Bronx,77,1,Democratic,President,,Amy Klobuchar,0
Bronx,77,1,Democratic,President,,Joseph R. Biden,44
Bronx,77,1,Democratic,President,,Tulsi Gabbard,0
Bronx,77,1,Democratic,President,,Bernie Sanders,6
Bronx,77,1,Democratic,President,,Michael R. Bloomberg,4
Bronx,77,1,Democratic,President,,Tom Steyer,0
Bronx,77,1,Democratic,President,,Michael Bennet,0
Bronx,77,1,Democratic,President,,Elizabeth Warren,0
Bronx,77,1,Democratic,President,,Andrew Yang,0
Bronx,77,1,Democratic,President,,Deval Patrick,0
Bronx,77,2,Democratic,President,,Public Counter,56
Bronx,77,2,Democratic,President,,Manually Counted Emergency,0
Bronx,77,2,Democratic,President,,Absentee / Military,24
Bronx,77,2,Democratic,President,,Federal,0
Bronx,77,2,Democratic,President,,Affidavit,0
Bronx,77,2,Democratic,President,,Pete Buttigieg,0
Bronx,77,2,Democratic,President,,Amy Klobuchar,2
Bronx,77,2,Democratic,President,,Joseph R. Biden,45
Bronx,77,2,Democratic,President,,Tulsi Gabbard,1
Bronx,77,2,Democratic,President,,Bernie Sanders,20
Bronx,77,2,Democratic,President,,Michael R. Bloomberg,4
Bronx,77,2,Democratic,President,,Tom Steyer,0
Bronx,77,2,Democratic,President,,Michael Bennet,0
Bronx,77,2,Democratic,President,,Elizabeth Warren,1
Bronx,77,2,Democratic,President,,Andrew Yang,2
Bronx,77,2,Democratic,President,,Deval Patrick,0
Bronx,77,3,Democratic,President,,Public Counter,148
Bronx,77,3,Democratic,President,,Manually Counted Emergency,0
Bronx,77,3,Democratic,President,,Absentee / Military,44
Bronx,77,3,Democratic,President,,Federal,0
Bronx,77,3,Democratic,President,,Affidavit,0
Bronx,77,3,Democratic,President,,Pete Buttigieg,4
Bronx,77,3,Democratic,President,,Amy Klobuchar,2
Bronx,77,3,Democratic,President,,Joseph R. Biden,95
Bronx,77,3,Democratic,President,,Tulsi Gabbard,1
Bronx,77,3,Democratic,President,,Bernie Sanders,55
Bronx,77,3,Democratic,President,,Michael R. Bloomberg,15
Bronx,77,3,Democratic,President,,Tom Steyer,1
Bronx,77,3,Democratic,President,,Michael Bennet,2
Bronx,77,3,Democratic,President,,Elizabeth Warren,4
Bronx,77,3,Democratic,President,,Andrew Yang,3
Bronx,77,3,Democratic,President,,Deval Patrick,0
Bronx,77,4,Democratic,President,,Public Counter,123
Bronx,77,4,Democratic,President,,Manually Counted Emergency,0
Bronx,77,4,Democratic,President,,Absentee / Military,39
Bronx,77,4,Democratic,President,,Federal,0
Bronx,77,4,Democratic,President,,Affidavit,1
Bronx,77,4,Democratic,President,,Pete Buttigieg,0
Bronx,77,4,Democratic,President,,Amy Klobuchar,0
Bronx,77,4,Democratic,President,,Joseph R. Biden,95
Bronx,77,4,Democratic,President,,Tulsi Gabbard,0
Bronx,77,4,Democratic,President,,Bernie Sanders,43
Bronx,77,4,Democratic,President,,Michael R. Bloomberg,13
Bronx,77,4,Democratic,President,,Tom Steyer,1
Bronx,77,4,Democratic,President,,Michael Bennet,2
Bronx,77,4,Democratic,President,,Elizabeth Warren,3
Bronx,77,4,Democratic,President,,Andrew Yang,1
Bronx,77,4,Democratic,President,,Deval Patrick,1
Bronx,77,5,Democratic,President,,Public Counter,145
Bronx,77,5,Democratic,President,,Manually Counted Emergency,0
Bronx,77,5,Democratic,President,,Absentee / Military,39
Bronx,77,5,Democratic,President,,Federal,0
Bronx,77,5,Democratic,President,,Affidavit,0
Bronx,77,5,Democratic,President,,Pete Buttigieg,2
Bronx,77,5,Democratic,President,,Amy Klobuchar,2
Bronx,77,5,Democratic,President,,Joseph R. Biden,120
Bronx,77,5,Democratic,President,,Tulsi Gabbard,0
Bronx,77,5,Democratic,President,,Bernie Sanders,36
Bronx,77,5,Democratic,President,,Michael R. Bloomberg,11
Bronx,77,5,Democratic,President,,Tom Steyer,1
Bronx,77,5,Democratic,President,,Michael Bennet,1
Bronx,77,5,Democratic,President,,Elizabeth Warren,4
Bronx,77,5,Democratic,President,,Andrew Yang,1
Bronx,77,5,Democratic,President,,Deval Patrick,1
Bronx,77,6,Democratic,President,,Public Counter,121
Bronx,77,6,Democratic,President,,Manually Counted Emergency,0
Bronx,77,6,Democratic,President,,Absentee / Military,63
Bronx,77,6,Democratic,President,,Federal,0
Bronx,77,6,Democratic,President,,Affidavit,0
Bronx,77,6,Democratic,President,,Pete Buttigieg,0
Bronx,77,6,Democratic,President,,Amy Klobuchar,1
Bronx,77,6,Democratic,President,,Joseph R. Biden,125
Bronx,77,6,Democratic,President,,Tulsi Gabbard,1
Bronx,77,6,Democratic,President,,Bernie Sanders,35
Bronx,77,6,Democratic,President,,Michael R. Bloomberg,8
Bronx,77,6,Democratic,President,,Tom Steyer,0
Bronx,77,6,Democratic,President,,Michael Bennet,0
Bronx,77,6,Democratic,President,,Elizabeth Warren,9
Bronx,77,6,Democratic,President,,Andrew Yang,1
Bronx,77,6,Democratic,President,,Deval Patrick,0
Bronx,77,7,Democratic,President,,Public Counter,152
Bronx,77,7,Democratic,President,,Manually Counted Emergency,0
Bronx,77,7,Democratic,President,,Absentee / Military,44
Bronx,77,7,Democratic,President,,Federal,1
Bronx,77,7,Democratic,President,,Affidavit,1
Bronx,77,7,Democratic,President,,Pete Buttigieg,1
Bronx,77,7,Democratic,President,,Amy Klobuchar,2
Bronx,77,7,Democratic,President,,Joseph R. Biden,127
Bronx,77,7,Democratic,President,,Tulsi Gabbard,4
Bronx,77,7,Democratic,President,,Bernie Sanders,37
Bronx,77,7,Democratic,President,,Michael R. Bloomberg,9
Bronx,77,7,Democratic,President,,Tom Steyer,2
Bronx,77,7,Democratic,President,,Michael Bennet,1
Bronx,77,7,Democratic,President,,Elizabeth Warren,6
Bronx,77,7,Democratic,President,,Andrew Yang,0
Bronx,77,7,Democratic,President,,Deval Patrick,0
Bronx,77,8,Democratic,President,,Public Counter,105
Bronx,77,8,Democratic,President,,Manually Counted Emergency,0
Bronx,77,8,Democratic,President,,Absentee / Military,49
Bronx,77,8,Democratic,President,,Federal,0
Bronx,77,8,Democratic,President,,Affidavit,1
Bronx,77,8,Democratic,President,,Pete Buttigieg,1
Bronx,77,8,Democratic,President,,Amy Klobuchar,1
Bronx,77,8,Democratic,President,,Joseph R. Biden,110
Bronx,77,8,Democratic,President,,Tulsi Gabbard,0
Bronx,77,8,Democratic,President,,Bernie Sanders,27
Bronx,77,8,Democratic,President,,Michael R. Bloomberg,7
Bronx,77,8,Democratic,President,,Tom Steyer,0
Bronx,77,8,Democratic,President,,Michael Bennet,1
Bronx,77,8,Democratic,President,,Elizabeth Warren,2
Bronx,77,8,Democratic,President,,Andrew Yang,2
Bronx,77,8,Democratic,President,,Deval Patrick,1
Bronx,77,9,Democratic,President,,Public Counter,111
Bronx,77,9,Democratic,President,,Manually Counted Emergency,0
Bronx,77,9,Democratic,President,,Absentee / Military,46
Bronx,77,9,Democratic,President,,Federal,0
Bronx,77,9,Democratic,President,,Affidavit,2
Bronx,77,9,Democratic,President,,Pete Buttigieg,1
Bronx,77,9,Democratic,President,,Amy Klobuchar,1
Bronx,77,9,Democratic,President,,Joseph R. Biden,101
Bronx,77,9,Democratic,President,,Tulsi Gabbard,1
Bronx,77,9,Democratic,President,,Bernie Sanders,28
Bronx,77,9,Democratic,President,,Michael R. Bloomberg,7
Bronx,77,9,Democratic,President,,Tom Steyer,1
Bronx,77,9,Democratic,President,,Michael Bennet,6
Bronx,77,9,Democratic,President,,Elizabeth Warren,6
Bronx,77,9,Democratic,President,,Andrew Yang,2
Bronx,77,9,Democratic,President,,Deval Patrick,1
Bronx,77,10,Democratic,President,,Public Counter,167
Bronx,77,10,Democratic,President,,Manually Counted Emergency,0
Bronx,77,10,Democratic,President,,Absentee / Military,41
Bronx,77,10,Democratic,President,,Federal,0
Bronx,77,10,Democratic,President,,Affidavit,2
Bronx,77,10,Democratic,President,,Pete Buttigieg,2
Bronx,77,10,Democratic,President,,Amy Klobuchar,0
Bronx,77,10,Democratic,President,,Joseph R. Biden,148
Bronx,77,10,Democratic,President,,Tulsi Gabbard,0
Bronx,77,10,Democratic,President,,Bernie Sanders,31
Bronx,77,10,Democratic,President,,Michael R. Bloomberg,15
Bronx,77,10,Democratic,President,,Tom Steyer,1
Bronx,77,10,Democratic,President,,Michael Bennet,1
Bronx,77,10,Democratic,President,,Elizabeth Warren,7
Bronx,77,10,Democratic,President,,Andrew Yang,0
Bronx,77,10,Democratic,President,,Deval Patrick,1
Bronx,77,11,Democratic,President,,Public Counter,154
Bronx,77,11,Democratic,President,,Manually Counted Emergency,0
Bronx,77,11,Democratic,President,,Absentee / Military,40
Bronx,77,11,Democratic,President,,Federal,0
Bronx,77,11,Democratic,President,,Affidavit,3
Bronx,77,11,Democratic,President,,Pete Buttigieg,2
Bronx,77,11,Democratic,President,,Amy Klobuchar,0
Bronx,77,11,Democratic,President,,Joseph R. Biden,117
Bronx,77,11,Democratic,President,,Tulsi Gabbard,4
Bronx,77,11,Democratic,President,,Bernie Sanders,46
Bronx,77,11,Democratic,President,,Michael R. Bloomberg,20
Bronx,77,11,Democratic,President,,Tom Steyer,1
Bronx,77,11,Democratic,President,,Michael Bennet,1
Bronx,77,11,Democratic,President,,Elizabeth Warren,4
Bronx,77,11,Democratic,President,,Andrew Yang,0
Bronx,77,11,Democratic,President,,Deval Patrick,0
Bronx,77,12,Democratic,President,,Public Counter,89
Bronx,77,12,Democratic,President,,Manually Counted Emergency,0
Bronx,77,12,Democratic,President,,Absentee / Military,48
Bronx,77,12,Democratic,President,,Federal,1
Bronx,77,12,Democratic,President,,Affidavit,1
Bronx,77,12,Democratic,President,,Pete Buttigieg,1
Bronx,77,12,Democratic,President,,Amy Klobuchar,1
Bronx,77,12,Democratic,President,,Joseph R. Biden,106
Bronx,77,12,Democratic,President,,Tulsi Gabbard,0
Bronx,77,12,Democratic,President,,Bernie Sanders,22
Bronx,77,12,Democratic,President,,Michael R. Bloomberg,4
Bronx,77,12,Democratic,President,,Tom Steyer,0
Bronx,77,12,Democratic,President,,Michael Bennet,1
Bronx,77,12,Democratic,President,,Elizabeth Warren,1
Bronx,77,12,Democratic,President,,Andrew Yang,2
Bronx,77,12,Democratic,President,,Deval Patrick,0
Bronx,77,13,Democratic,President,,Public Counter,104
Bronx,77,13,Democratic,President,,Manually Counted Emergency,0
Bronx,77,13,Democratic,President,,Absentee / Military,25
Bronx,77,13,Democratic,President,,Federal,0
Bronx,77,13,Democratic,President,,Affidavit,2
Bronx,77,13,Democratic,President,,Pete Buttigieg,0
Bronx,77,13,Democratic,President,,Amy Klobuchar,0
Bronx,77,13,Democratic,President,,Joseph R. Biden,81
Bronx,77,13,Democratic,President,,Tulsi Gabbard,1
Bronx,77,13,Democratic,President,,Bernie Sanders,24
Bronx,77,13,Democratic,President,,Michael R. Bloomberg,16
Bronx,77,13,Democratic,President,,Tom Steyer,0
Bronx,77,13,Democratic,President,,Michael Bennet,0
Bronx,77,13,Democratic,President,,Elizabeth Warren,3
Bronx,77,13,Democratic,President,,Andrew Yang,3
Bronx,77,13,Democratic,President,,Deval Patrick,1
Bronx,77,14,Democratic,President,,Public Counter,114
Bronx,77,14,Democratic,President,,Manually Counted Emergency,0
Bronx,77,14,Democratic,President,,Absentee / Military,40
Bronx,77,14,Democratic,President,,Federal,0
Bronx,77,14,Democratic,President,,Affidavit,1
Bronx,77,14,Democratic,President,,Pete Buttigieg,1
Bronx,77,14,Democratic,President,,Amy Klobuchar,1
Bronx,77,14,Democratic,President,,Joseph R. Biden,90
Bronx,77,14,Democratic,President,,Tulsi Gabbard,0
Bronx,77,14,Democratic,President,,Bernie Sanders,44
Bronx,77,14,Democratic,President,,Michael R. Bloomberg,8
Bronx,77,14,Democratic,President,,Tom Steyer,1
Bronx,77,14,Democratic,President,,Michael Bennet,1
Bronx,77,14,Democratic,President,,Elizabeth Warren,4
Bronx,77,14,Democratic,President,,Andrew Yang,0
Bronx,77,14,Democratic,President,,Deval Patrick,1
Bronx,77,15,Democratic,President,,Public Counter,62
Bronx,77,15,Democratic,President,,Manually Counted Emergency,0
Bronx,77,15,Democratic,President,,Absentee / Military,14
Bronx,77,15,Democratic,President,,Federal,0
Bronx,77,15,Democratic,President,,Affidavit,1
Bronx,77,15,Democratic,President,,Pete Buttigieg,0
Bronx,77,15,Democratic,President,,Amy Klobuchar,0
Bronx,77,15,Democratic,President,,Joseph R. Biden,47
Bronx,77,15,Democratic,President,,Tulsi Gabbard,1
Bronx,77,15,Democratic,President,,Bernie Sanders,17
Bronx,77,15,Democratic,President,,Michael R. Bloomberg,5
Bronx,77,15,Democratic,President,,Tom Steyer,0
Bronx,77,15,Democratic,President,,Michael Bennet,0
Bronx,77,15,Democratic,President,,Elizabeth Warren,4
Bronx,77,15,Democratic,President,,Andrew Yang,1
