county,precinct,office,district,candidate,party,votes,updated
Madison,City of Oneida Ward 1,President,,Joseph R. Biden/Kamala D. Harris,DEM,441,
Madison,City of Oneida Ward 1,President,,Donald J. Trump/Michael R. Pence,REP,493,
Madison,City of Oneida Ward 1,President,,Donald J. Trump/Michael R. Pence,CON,49,
Madison,City of Oneida Ward 1,President,,Joseph R. Biden/Kamala D. Harris,WOR,30,
Madison,City of Oneida Ward 1,President,,Howie Hawkins/Angela Nicole Walker,GRE,3,
Madison,City of Oneida Ward 1,President,,Jo Jorgensen/Jeremy Cohen,LBT,19,
Madison,City of Oneida Ward 1,President,,Brock Pierce/Karla Ballard,IND,11,
Madison,City of Oneida Ward 1,President,,Write-ins,,0,
Madison,City of Oneida Ward 1,President,,Voids,,0,
Madison,City of Oneida Ward 1,President,,Blanks,,3,
Madison,City of Oneida Ward 2,President,,Joseph R. Biden/Kamala D. Harris,DEM,399,
Madison,City of Oneida Ward 2,President,,Donald J. Trump/Michael R. Pence,REP,451,
Madison,City of Oneida Ward 2,President,,Donald J. Trump/Michael R. Pence,CON,40,
Madison,City of Oneida Ward 2,President,,Joseph R. Biden/Kamala D. Harris,WOR,26,
Madison,City of Oneida Ward 2,President,,Howie Hawkins/Angela Nicole Walker,GRE,2,
Madison,City of Oneida Ward 2,President,,Jo Jorgensen/Jeremy Cohen,LBT,13,
Madison,City of Oneida Ward 2,President,,Brock Pierce/Karla Ballard,IND,4,
Madison,City of Oneida Ward 2,President,,Write-ins,,0,
Madison,City of Oneida Ward 2,President,,Voids,,0,
Madison,City of Oneida Ward 2,President,,Blanks,,4,
Madison,City of Oneida Ward 3,President,,Joseph R. Biden/Kamala D. Harris,DEM,480,
Madison,City of Oneida Ward 3,President,,Donald J. Trump/Michael R. Pence,REP,432,
Madison,City of Oneida Ward 3,President,,Donald J. Trump/Michael R. Pence,CON,50,
Madison,City of Oneida Ward 3,President,,Joseph R. Biden/Kamala D. Harris,WOR,18,
Madison,City of Oneida Ward 3,President,,Howie Hawkins/Angela Nicole Walker,GRE,8,
Madison,City of Oneida Ward 3,President,,Jo Jorgensen/Jeremy Cohen,LBT,8,
Madison,City of Oneida Ward 3,President,,Brock Pierce/Karla Ballard,IND,4,
Madison,City of Oneida Ward 3,President,,Write-ins,,0,
Madison,City of Oneida Ward 3,President,,Voids,,4,
Madison,City of Oneida Ward 3,President,,Blanks,,5,
Madison,City of Oneida Ward 4,President,,Joseph R. Biden/Kamala D. Harris,DEM,181,
Madison,City of Oneida Ward 4,President,,Donald J. Trump/Michael R. Pence,REP,235,
Madison,City of Oneida Ward 4,President,,Donald J. Trump/Michael R. Pence,CON,25,
Madison,City of Oneida Ward 4,President,,Joseph R. Biden/Kamala D. Harris,WOR,7,
Madison,City of Oneida Ward 4,President,,Howie Hawkins/Angela Nicole Walker,GRE,2,
Madison,City of Oneida Ward 4,President,,Jo Jorgensen/Jeremy Cohen,LBT,4,
Madison,City of Oneida Ward 4,President,,Brock Pierce/Karla Ballard,IND,0,
Madison,City of Oneida Ward 4,President,,Write-ins,,0,
Madison,City of Oneida Ward 4,President,,Voids,,2,
Madison,City of Oneida Ward 4,President,,Blanks,,2,
Madison,City of Oneida Ward 5,President,,Joseph R. Biden/Kamala D. Harris,DEM,211,
Madison,City of Oneida Ward 5,President,,Donald J. Trump/Michael R. Pence,REP,309,
Madison,City of Oneida Ward 5,President,,Donald J. Trump/Michael R. Pence,CON,31,
Madison,City of Oneida Ward 5,President,,Joseph R. Biden/Kamala D. Harris,WOR,13,
Madison,City of Oneida Ward 5,President,,Howie Hawkins/Angela Nicole Walker,GRE,1,
Madison,City of Oneida Ward 5,President,,Jo Jorgensen/Jeremy Cohen,LBT,5,
Madison,City of Oneida Ward 5,President,,Brock Pierce/Karla Ballard,IND,1,
Madison,City of Oneida Ward 5,President,,Write-ins,,1,
Madison,City of Oneida Ward 5,President,,Voids,,1,
Madison,City of Oneida Ward 5,President,,Blanks,,1,
Madison,City of Oneida Ward 6,President,,Joseph R. Biden/Kamala D. Harris,DEM,253,
Madison,City of Oneida Ward 6,President,,Donald J. Trump/Michael R. Pence,REP,367,
Madison,City of Oneida Ward 6,President,,Donald J. Trump/Michael R. Pence,CON,45,
Madison,City of Oneida Ward 6,President,,Joseph R. Biden/Kamala D. Harris,WOR,23,
Madison,City of Oneida Ward 6,President,,Howie Hawkins/Angela Nicole Walker,GRE,1,
Madison,City of Oneida Ward 6,President,,Jo Jorgensen/Jeremy Cohen,LBT,6,
Madison,City of Oneida Ward 6,President,,Brock Pierce/Karla Ballard,IND,4,
Madison,City of Oneida Ward 6,President,,Write-ins,,0,
Madison,City of Oneida Ward 6,President,,Voids,,0,
Madison,City of Oneida Ward 6,President,,Blanks,,2,
Madison,Town of Brookfield 1,President,,Joseph R. Biden/Kamala D. Harris,DEM,90,
Madison,Town of Brookfield 1,President,,Donald J. Trump/Michael R. Pence,REP,195,
Madison,Town of Brookfield 1,President,,Donald J. Trump/Michael R. Pence,CON,23,
Madison,Town of Brookfield 1,President,,Joseph R. Biden/Kamala D. Harris,WOR,4,
