county,precinct,office,district,candidate,party,votes,absentee
Cattaraugus,Allegany District 1,Ballots Cast,,,,518,129
Cattaraugus,Allegany District 2,Ballots Cast,,,,196,109
Cattaraugus,Allegany District 3,Ballots Cast,,,,414,89
Cattaraugus,Allegany District 4,Ballots Cast,,,,515,83
Cattaraugus,Allegany District 5,Ballots Cast,,,,484,95
Cattaraugus,Ashford District 1,Ballots Cast,,,,295,47
Cattaraugus,Ashford District 2,Ballots Cast,,,,594,106
Cattaraugus,Carrollton,Ballots Cast,,,,515,26
Cattaraugus,City of Olean - Ward 1,Ballots Cast,,,,573,48
Cattaraugus,City of Olean - Ward 2,Ballots Cast,,,,519,57
Cattaraugus,City of Olean - Ward 3,Ballots Cast,,,,340,101
Cattaraugus,City of Olean - Ward 4,Ballots Cast,,,,262,139
Cattaraugus,City of Olean - Ward 5,Ballots Cast,,,,388,66
Cattaraugus,City of Olean - Ward 6,Ballots Cast,,,,389,70
Cattaraugus,City of Olean - Ward 7,Ballots Cast,,,,505,125
Cattaraugus,City of Salamanca - Ward 1,Ballots Cast,,,,206,88
Cattaraugus,City of Salamanca - Ward 2,Ballots Cast,,,,441,62
Cattaraugus,City of Salamanca - Ward 3,Ballots Cast,,,,226,43
Cattaraugus,City of Salamanca - Ward 4,Ballots Cast,,,,334,88
Cattaraugus,City of Salamanca - Ward 5,Ballots Cast,,,,302,100
Cattaraugus,Coldspring,Ballots Cast,,,,352,21
Cattaraugus,Conewango,Ballots Cast,,,,351,61
Cattaraugus,Dayton,Ballots Cast,,,,565,25
Cattaraugus,East Otto,Ballots Cast,,,,395,103
Cattaraugus,Ellicottville,Ballots Cast,,,,503,31
Cattaraugus,Farmersville,Ballots Cast,,,,442,63
Cattaraugus,Franklinville District 1,Ballots Cast,,,,547,156
Cattaraugus,Franklinville District 2,Ballots Cast,,,,436,100
Cattaraugus,Freedom,Ballots Cast,,,,947,59
Cattaraugus,Great Valley 1,Ballots Cast,,,,317,47
Cattaraugus,Great Valley 2,Ballots Cast,,,,523,198
Cattaraugus,Hinsdale,Ballots Cast,,,,720,141
Cattaraugus,Humphrey,Ballots Cast,,,,274,130
Cattaraugus,Ischua,Ballots Cast,,,,309,122
Cattaraugus,Leon,Ballots Cast,,,,281,143
Cattaraugus,Little Valley,Ballots Cast,,,,414,155
Cattaraugus,Lyndon,Ballots Cast,,,,293,114
Cattaraugus,Machias,Ballots Cast,,,,782,160
Cattaraugus,Mansfield,Ballots Cast,,,,262,115
Cattaraugus,Napoli,Ballots Cast,,,,393,104
Cattaraugus,New Albion,Ballots Cast,,,,641,100
Cattaraugus,Otto,Ballots Cast,,,,314,88
Cattaraugus,Perrysburg,Ballots Cast,,,,712,70
Cattaraugus,Persia,Ballots Cast,,,,719,5
Cattaraugus,Portville 1,Ballots Cast,,,,650,11
Cattaraugus,Portville 2,Ballots Cast,,,,636,47
Cattaraugus,Randolph District 1,Ballots Cast,,,,432,114
Cattaraugus,Randolph District 2,Ballots Cast,,,,494,33
Cattaraugus,Red House,Ballots Cast,,,,21,63
Cattaraugus,South Valley,Ballots Cast,,,,130,121
Cattaraugus,Town of Olean 1,Ballots Cast,,,,248,38
Cattaraugus,Town of Olean 2,Ballots Cast,,,,372,121
Cattaraugus,Town of Salamanca,Ballots Cast,,,,275,42
Cattaraugus,Yorkshire 1,Ballots Cast,,,,643,93
Cattaraugus,Yorkshire 2,Ballots Cast,,,,655,116
Cattaraugus,Early Voting - Little Valley 1,Ballots Cast,,,,1168,
Cattaraugus,Early Voting - Little Valley 2,Ballots Cast,,,,1102,
Cattaraugus,Early Voting - Olean 1,Ballots Cast,,,,2528,
Cattaraugus,Early Voting - Olean 2,Ballots Cast,,,,1375,
Cattaraugus,Allegany District 1,President,,Joseph R. Biden,DEM,157,86
Cattaraugus,Allegany District 2,President,,Joseph R. Biden,DEM,57,79
Cattaraugus,Allegany District 3,President,,Joseph R. Biden,DEM,86,56
Cattaraugus,Allegany District 4,President,,Joseph R. Biden,DEM,104,44
Cattaraugus,Allegany District 5,President,,Joseph R. Biden,DEM,108,68
Cattaraugus,Ashford District 1,President,,Joseph R. Biden,DEM,68,24
Cattaraugus,Ashford District 2,President,,Joseph R. Biden,DEM,161,57
Cattaraugus,Carrollton,President,,Joseph R. Biden,DEM,95,8
Cattaraugus,City of Olean - Ward 1,President,,Joseph R. Biden,DEM,169,23
Cattaraugus,City of Olean - Ward 2,President,,Joseph R. Biden,DEM,127,36
