county,office,district,candidate,party,precinct,absentee,early_voting,election_day,votes
Warren,President,,Joseph R. Biden,DEM,"Horicon 1,2 ",94,50,209,353
Warren,President,,Joseph R. Biden,DEM,Thurman 1 ,41,20,118,179
Warren,President,,Joseph R. Biden,DEM,"Warrensburg 1,2,3 ",228,119,365,712
Warren,President,,Joseph R. Biden,DEM,"Queensbury Ward 1 1,2,3,4,5 ",782,806,604,2192
Warren,President,,Joseph R. Biden,DEM,"Queensbury Ward 2  1,2,3,4 ",913,757,607,2277
Warren,President,,Joseph R. Biden,DEM,"Queensbury Ward 3 1,2,3,4 ",702,670,581,1953
Warren,President,,Joseph R. Biden,DEM,"Queensbury Ward 4 1,2,3 ",492,421,490,1403
Warren,President,,Joseph R. Biden,DEM,Glens Falls Ward 1 1 ,140,72,221,433
Warren,President,,Joseph R. Biden,DEM,"Glens Falls Ward 2 1,2 ",338,250,471,1059
Warren,President,,Joseph R. Biden,DEM,"Glens Falls Ward 3 1,2 ",344,388,467,1199
Warren,President,,Joseph R. Biden,DEM,Glens Falls Ward 4 1 ,143,113,194,450
Warren,President,,Joseph R. Biden,DEM,"Glens Falls Ward 5 1,2 ",202,117,358,677
Warren,President,,Joseph R. Biden,DEM,"Bolton 1,2 ",180,107,341,628
Warren,President,,Joseph R. Biden,DEM,"Chester 1,2 ",233,91,332,656
Warren,President,,Joseph R. Biden,DEM,Hague 1 ,74,17,147,238
Warren,President,,Joseph R. Biden,DEM,"Johnsburg 1,2 ",167,55,311,533
Warren,President,,Joseph R. Biden,DEM,"Lake George 1,2 ",288,245,412,945
Warren,President,,Joseph R. Biden,DEM,"Lake Luzerne 1,2 ",162,133,303,598
Warren,President,,Joseph R. Biden,DEM,Stony Creek 1 ,28,5,88,121
Warren,President,,Donald J. Trump,REP,"Horicon 1,2 ",104,22,394,520
Warren,President,,Donald J. Trump,REP,Thurman 1 ,23,14,327,364
Warren,President,,Donald J. Trump,REP,"Warrensburg 1,2,3 ",117,94,805,1016
Warren,President,,Donald J. Trump,REP,"Queensbury Ward 1 1,2,3,4,5 ",366,553,1333,2252
Warren,President,,Donald J. Trump,REP,"Queensbury Ward 2  1,2,3,4 ",296,389,1028,1713
Warren,President,,Donald J. Trump,REP,"Queensbury Ward 3 1,2,3,4 ",253,431,1094,1778
Warren,President,,Donald J. Trump,REP,"Queensbury Ward 4 1,2,3 ",182,265,1047,1494
Warren,President,,Donald J. Trump,REP,Glens Falls Ward 1 1 ,49,34,276,359
Warren,President,,Donald J. Trump,REP,"Glens Falls Ward 2 1,2 ",63,78,491,632
Warren,President,,Donald J. Trump,REP,"Glens Falls Ward 3 1,2 ",77,93,389,559
Warren,President,,Donald J. Trump,REP,Glens Falls Ward 4 1 ,41,27,198,266
Warren,President,,Donald J. Trump,REP,"Glens Falls Ward 5 1,2 ",47,58,426,531
Warren,President,,Donald J. Trump,REP,"Bolton 1,2 ",102,37,527,666
Warren,President,,Donald J. Trump,REP,"Chester 1,2 ",149,56,848,1053
Warren,President,,Donald J. Trump,REP,Hague 1 ,26,11,177,214
Warren,President,,Donald J. Trump,REP,"Johnsburg 1,2 ",90,11,467,568
Warren,President,,Donald J. Trump,REP,"Lake George 1,2 ",136,128,730,994
Warren,President,,Donald J. Trump,REP,"Lake Luzerne 1,2 ",119,68,822,1009
Warren,President,,Donald J. Trump,REP,Stony Creek 1 ,32,2,249,283
Warren,President,,Donald J. Trump,CON,"Horicon 1,2 ",11,4,35,50
Warren,President,,Donald J. Trump,CON,Thurman 1 ,2,0,36,38
Warren,President,,Donald J. Trump,CON,"Warrensburg 1,2,3 ",10,5,45,60
Warren,President,,Donald J. Trump,CON,"Queensbury Ward 1 1,2,3,4,5 ",34,56,117,207
Warren,President,,Donald J. Trump,CON,"Queensbury Ward 2  1,2,3,4 ",24,31,92,147
Warren,President,,Donald J. Trump,CON,"Queensbury Ward 3 1,2,3,4 ",32,48,113,193
Warren,President,,Donald J. Trump,CON,"Queensbury Ward 4 1,2,3 ",13,20,95,128
Warren,President,,Donald J. Trump,CON,Glens Falls Ward 1 1 ,5,1,25,31
Warren,President,,Donald J. Trump,CON,"Glens Falls Ward 2 1,2 ",5,9,34,48
Warren,President,,Donald J. Trump,CON,"Glens Falls Ward 3 1,2 ",8,10,33,51
Warren,President,,Donald J. Trump,CON,Glens Falls Ward 4 1 ,3,1,18,22
Warren,President,,Donald J. Trump,CON,"Glens Falls Ward 5 1,2 ",4,8,37,49
Warren,President,,Donald J. Trump,CON,"Bolton 1,2 ",12,0,49,61
Warren,President,,Donald J. Trump,CON,"Chester 1,2 ",19,4,67,90
Warren,President,,Donald J. Trump,CON,Hague 1 ,3,0,8,11
Warren,President,,Donald J. Trump,CON,"Johnsburg 1,2 ",9,3,20,32
Warren,President,,Donald J. Trump,CON,"Lake George 1,2 ",15,15,56,86
Warren,President,,Donald J. Trump,CON,"Lake Luzerne 1,2 ",14,11,75,100
Warren,President,,Donald J. Trump,CON,Stony Creek 1 ,4,0,20,24
Warren,President,,Joseph R. Biden,WOR,"Horicon 1,2 ",3,0,13,16
Warren,President,,Joseph R. Biden,WOR,Thurman 1 ,0,1,11,12
Warren,President,,Joseph R. Biden,WOR,"Warrensburg 1,2,3 ",13,9,24,46
Warren,President,,Joseph R. Biden,WOR,"Queensbury Ward 1 1,2,3,4,5 ",21,41,35,97
Warren,President,,Joseph R. Biden,WOR,"Queensbury Ward 2  1,2,3,4 ",47,56,53,156
Warren,President,,Joseph R. Biden,WOR,"Queensbury Ward 3 1,2,3,4 ",41,40,32,113
Warren,President,,Joseph R. Biden,WOR,"Queensbury Ward 4 1,2,3 ",19,23,30,72
Warren,President,,Joseph R. Biden,WOR,Glens Falls Ward 1 1 ,14,6,19,39
Warren,President,,Joseph R. Biden,WOR,"Glens Falls Ward 2 1,2 ",28,28,36,92
Warren,President,,Joseph R. Biden,WOR,"Glens Falls Ward 3 1,2 ",23,34,39,96
Warren,President,,Joseph R. Biden,WOR,Glens Falls Ward 4 1 ,4,5,23,32
Warren,President,,Joseph R. Biden,WOR,"Glens Falls Ward 5 1,2 ",11,24,14,49
Warren,President,,Joseph R. Biden,WOR,"Bolton 1,2 ",8,8,19,35
Warren,President,,Joseph R. Biden,WOR,"Chester 1,2 ",12,10,28,50
Warren,President,,Joseph R. Biden,WOR,Hague 1 ,1,0,2,3
