county,assembly_district,precinct,party,office,district,candidate,votes
Richmond,61,1,Democratic,President,,Public Counter,181
Richmond,61,1,Democratic,President,,Manually Counted Emergency,0
Richmond,61,1,Democratic,President,,Absentee / Military,89
Richmond,61,1,Democratic,President,,Federal,0
Richmond,61,1,Democratic,President,,Affidavit,0
Richmond,61,1,Democratic,President,,Pete Buttigieg,2
Richmond,61,1,Democratic,President,,Amy Klobuchar,2
Richmond,61,1,Democratic,President,,Joseph R. Biden,187
Richmond,61,1,Democratic,President,,Tulsi Gabbard,3
Richmond,61,1,Democratic,President,,Bernie Sanders,47
Richmond,61,1,Democratic,President,,Michael R. Bloomberg,7
Richmond,61,1,Democratic,President,,Tom Steyer,0
Richmond,61,1,Democratic,President,,Michael Bennet,3
Richmond,61,1,Democratic,President,,Elizabeth Warren,8
Richmond,61,1,Democratic,President,,Andrew Yang,2
Richmond,61,1,Democratic,President,,Deval Patrick,1
Richmond,61,2,Democratic,President,,Public Counter,146
Richmond,61,2,Democratic,President,,Manually Counted Emergency,0
Richmond,61,2,Democratic,President,,Absentee / Military,114
Richmond,61,2,Democratic,President,,Federal,0
Richmond,61,2,Democratic,President,,Affidavit,0
Richmond,61,2,Democratic,President,,Pete Buttigieg,4
Richmond,61,2,Democratic,President,,Amy Klobuchar,0
Richmond,61,2,Democratic,President,,Joseph R. Biden,186
Richmond,61,2,Democratic,President,,Tulsi Gabbard,1
Richmond,61,2,Democratic,President,,Bernie Sanders,52
Richmond,61,2,Democratic,President,,Michael R. Bloomberg,4
Richmond,61,2,Democratic,President,,Tom Steyer,0
Richmond,61,2,Democratic,President,,Michael Bennet,0
Richmond,61,2,Democratic,President,,Elizabeth Warren,11
Richmond,61,2,Democratic,President,,Andrew Yang,2
Richmond,61,2,Democratic,President,,Deval Patrick,0
Richmond,61,3,Democratic,President,,Public Counter,141
Richmond,61,3,Democratic,President,,Manually Counted Emergency,0
Richmond,61,3,Democratic,President,,Absentee / Military,120
Richmond,61,3,Democratic,President,,Federal,0
Richmond,61,3,Democratic,President,,Affidavit,1
Richmond,61,3,Democratic,President,,Pete Buttigieg,0
Richmond,61,3,Democratic,President,,Amy Klobuchar,1
Richmond,61,3,Democratic,President,,Joseph R. Biden,161
Richmond,61,3,Democratic,President,,Tulsi Gabbard,1
Richmond,61,3,Democratic,President,,Bernie Sanders,76
Richmond,61,3,Democratic,President,,Michael R. Bloomberg,6
Richmond,61,3,Democratic,President,,Tom Steyer,0
Richmond,61,3,Democratic,President,,Michael Bennet,0
Richmond,61,3,Democratic,President,,Elizabeth Warren,10
