county,precinct,office,district,candidate,party,votes,absentee,affidavit,election_day
Jefferson,City 12/1,Registered Voters,,,,1458,,,
Jefferson,City 12/2,Registered Voters,,,,1225,,,
Jefferson,City 12/3,Registered Voters,,,,854,,,
Jefferson,13/1,Registered Voters,,,,1231,,,
Jefferson,13/2,Registered Voters,,,,1140,,,
Jefferson,13/3,Registered Voters,,,,809,,,
Jefferson,14/1,Registered Voters,,,,1080,,,
Jefferson,14/2,Registered Voters,,,,688,,,
Jefferson,15/1,Registered Voters,,,,1183,,,
Jefferson,15/2,Registered Voters,,,,1371,,,
Jefferson,15/3,Registered Voters,,,,539,,,
Jefferson,Adams 1,Registered Voters,,,,1013,,,
Jefferson,Adams 2,Registered Voters,,,,677,,,
Jefferson,Adams 3,Registered Voters,,,,1415,,,
Jefferson,Alexandria 1,Registered Voters,,,,667,,,
Jefferson,Alexandria 2,Registered Voters,,,,812,,,
Jefferson,Alexandria 3,Registered Voters,,,,1212,,,
Jefferson,Antwerp 1,Registered Voters,,,,331,,,
Jefferson,Antwerp 2,Registered Voters,,,,697,,,
Jefferson,Brownville 1,Registered Voters,,,,814,,,
Jefferson,Brownville 2,Registered Voters,,,,566,,,
Jefferson,Brownville 3,Registered Voters,,,,988,,,
Jefferson,Brownville 4,Registered Voters,,,,576,,,
Jefferson,Brownville 5,Registered Voters,,,,938,,,
Jefferson,Cape Vincent 1,Registered Voters,,,,543,,,
Jefferson,Cape Vincent 2,Registered Voters,,,,1190,,,
Jefferson,Champion 1,Registered Voters,,,,1562,,,
Jefferson,Champion 2,Registered Voters,,,,850,,,
Jefferson,Clayton 1,Registered Voters,,,,822,,,
Jefferson,Clayton 2,Registered Voters,,,,1132,,,
Jefferson,Clayton 3,Registered Voters,,,,1334,,,
Jefferson,Ellisburg 1,Registered Voters,,,,218,,,
Jefferson,Elllisburg 2,Registered Voters,,,,752,,,
Jefferson,Ellisburg 3,Registered Voters,,,,134,,,
Jefferson,Ellisburg 4,Registered Voters,,,,969,,,
Jefferson,Henderson 1,Registered Voters,,,,1103,,,
Jefferson,Hounsfield 1,Registered Voters,,,,1029,,,
Jefferson,Hounsfield 2,Registered Voters,,,,1353,,,
Jefferson,LeRay 1,Registered Voters,,,,445,,,
Jefferson,LeRay 2,Registered Voters,,,,232,,,
Jefferson,LeRay 3,Registered Voters,,,,338,,,
Jefferson,LeRay 4,Registered Voters,,,,1604,,,
